TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
LAL,LAL @ HOU,12/07/2016,L,240,95,34,87,39.1,5,20,25,22,27,81.5,14,25,39,14,13,4,28,22,-39
LAL,LAL vs. UTA,12/05/2016,L,240,101,39,87,44.8,5,14,35.7,18,23,78.3,15,28,43,15,8,1,11,23,-6
LAL,LAL @ MEM,12/03/2016,L,240,100,35,81,43.2,7,21,33.3,23,29,79.3,14,30,44,16,7,4,18,18,-3
LAL,LAL @ TOR,12/02/2016,L,240,80,32,93,34.4,6,26,23.1,10,17,58.8,19,27,46,16,6,2,18,18,-33
LAL,LAL @ CHI,11/30/2016,W,240,96,33,81,40.7,2,8,25,28,41,68.3,18,42,60,17,12,3,24,24,6
LAL,LAL @ NOP,11/29/2016,L,240,88,37,87,42.5,5,30,16.7,9,18,50,9,38,47,26,8,5,12,17,-17
LAL,LAL vs. ATL,11/27/2016,W,240,109,42,95,44.2,8,20,40,17,20,85,15,38,53,20,7,2,9,15,15
LAL,LAL vs. GSW,11/25/2016,L,240,85,32,90,35.6,5,22,22.7,16,23,69.6,14,31,45,20,12,3,18,16,-24
LAL,LAL @ GSW,11/23/2016,L,240,106,40,93,43,8,20,40,18,22,81.8,7,30,37,22,5,1,12,25,-43
LAL,LAL vs. OKC,11/22/2016,W,240,111,42,83,50.6,14,27,51.9,13,16,81.3,6,29,35,25,8,7,17,17,2
LAL,LAL vs. CHI,11/20/2016,L,240,110,41,93,44.1,13,31,41.9,15,21,71.4,10,27,37,26,11,3,10,19,-8
LAL,LAL vs. SAS,11/18/2016,L,240,107,39,87,44.8,12,25,48,17,21,81,15,30,45,24,6,1,14,21,-9
LAL,LAL vs. BKN,11/15/2016,W,240,125,41,92,44.6,9,28,32.1,34,43,79.1,14,41,55,24,9,2,12,17,7
LAL,LAL @ MIN,11/13/2016,L,240,99,33,71,46.5,8,24,33.3,25,30,83.3,5,34,39,16,6,5,17,31,-26
